Date,Year,Month,cashInReport,Card2,Card,DD,UE,GH,CN,DD2,UE2,GH2,CN2,DD Fees,UE Fees,GH Fees,Catering,otherCash,Foodja,Foodja2,Foodja Fees,Zelle,Ez Cater,Ez Cater2,EzCater Fees,Relish,Relish2,Relish Fees,waiter.com,CC Fees,createdAt,updatedAt,createdBy
5-Mar-24,2024,Mar,,1367.45,1412.17,145.03,97.08,20.46,,,,,,145.03,97.08,20.46,,95,52.96,,16.9472,,,,0,,,0,,44.72,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
6-Mar-24,2024,Mar,16.15,1866.81,1923.3,219.17,418.29,,,,,,,219.17,418.29,0,,,,,0,,,,0,,,0,,56.49,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
7-Mar-24,2024,Mar,47,1203.46,1242.27,129.76,37.64,81.84,,,,,,129.76,37.64,81.84,,97,,,0,,,,0,,,0,,38.81,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
8-Mar-24,2024,Mar,11.83,2179.38,2249.64,449.62,57.34,,,,,,,449.62,57.34,0,,195,162.83,,52.1056,,,,0,,,0,,70.26,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
9-Mar-24,2024,Mar,6.44,2528.32,2610.53,285.35,274.95,225.47,,,,,,285.35,274.95,225.47,300,460,,,0,,,,0,,,0,,82.21,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
10-Mar-24,2024,Mar,11.83,2318.1,2390.36,395.44,430.98,165.65,,1337.43,,,,-941.99,430.98,165.65,225,71,,,0,,,,0,,,0,,72.26,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
11-Mar-24,2024,Mar,,1164.78,1200.36,522.12,20.47,,,,,,,522.12,20.47,0,,101,,,0,,,,0,,,0,,35.58,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
12-Mar-24,2024,Mar,,1510.44,1560.68,83.72,176.25,176.51,,,,,,83.72,176.25,176.51,,240,378.72,,121.1904,,,,0,,,0,,50.24,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
13-Mar-24,2024,Mar,,1047.54,1080.1,311.13,300.5,21.54,,,,,,311.13,300.5,21.54,,30,131.87,,42.1984,,,,0,,,0,,32.56,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
14-Mar-24,2024,Mar,,1683.95,1738.16,592.98,292.94,124.78,,,,,,592.98,292.94,124.78,,53,,,0,,,,0,,,0,,54.21,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
15-Mar-24,2024,Mar,30.98,3085.53,3192.72,337.21,169.43,418.45,,,,,,337.21,169.43,418.45,320,281,139.85,,44.752,,,,0,,,0,,107.19,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
16-Mar-24,2024,Mar,3.22,2871.42,2964.61,439.33,260.04,92.85,,,,,,439.33,260.04,92.85,320,254,,,0,,,,0,,,0,,93.19,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
17-Mar-24,2024,Mar,,1955.9,2015.76,483.43,202.66,20.19,,1927.65,,,,-1444.22,202.66,20.19,255,131,,,0,,,,0,,,0,,59.86,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
18-Mar-24,2024,Mar,,1298.17,1337.12,21.23,198.03,140.84,,,,,,21.23,198.03,140.84,70,114,236.79,,75.7728,,,,0,,,0,,38.95,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
19-Mar-24,2024,Mar,,958.96,989.24,159.61,104.41,168.07,,,,,,159.61,104.41,168.07,,163,211.82,,67.7824,,,,0,,,0,,30.28,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
20-Mar-24,2024,Mar,,1338.8,1421.85,216.82,22.78,42,,,,,,216.82,22.78,42,,85,,,0,,,,0,,,0,,83.05,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
21-Mar-24,2024,Mar,6.44,1560.19,1609.67,557.1,208.14,121.23,,,,,,557.1,208.14,121.23,100,342.38,,,0,,,,0,,,0,,49.48,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
